,states,cases,date
0,Maharashtra,74860,04-06-2020
1,Tamil Nadu,25872,04-06-2020
2,Delhi,23645,04-06-2020
3,Gujarat,18117,04-06-2020
4,Rajasthan,9652,04-06-2020
5,Uttar Pradesh,8870,04-06-2020
6,Madhya Pradesh,8588,04-06-2020
7,Unknown*,7483,04-06-2020
8,West Bengal,6508,04-06-2020
9,Bihar,4326,04-06-2020
10,Andhra Pradesh,4112,04-06-2020
11,Karnataka,4063,04-06-2020
12,Telangana,3020,04-06-2020
13,Haryana,2954,04-06-2020
14,Jammu and Kashmir,2857,04-06-2020
15,Odisha,2478,04-06-2020
16,Punjab,2376,04-06-2020
17,Assam,1830,04-06-2020
18,Kerala,1494,04-06-2020
19,Uttarakhand,1145,04-06-2020
20,Jharkhand,764,04-06-2020
21,Chhattisgarh,626,04-06-2020
22,Tripura,573,04-06-2020
23,Himachal Pradesh,359,04-06-2020
24,Chandigarh,301,04-06-2020
25,Goa,126,04-06-2020
26,Manipur,108,04-06-2020
27,Ladakh,90,04-06-2020
28,Puducherry,90,04-06-2020
29,Nagaland,58,04-06-2020
30,Arunachal Pradesh,38,04-06-2020
31,Andaman and Nicobar Islands,33,04-06-2020
32,Meghalaya,33,04-06-2020
33,Mizoram,23,04-06-2020
34,Dadra and Nagar Haveli,11,04-06-2020
35,Sikkim,2,04-06-2020
36,Lakshadweep,0,04-06-2020
37,Daman and Diu,0,04-06-2020
